A 	 2.4	0.8	12.3	0.2	0.996	0.071	1.037	0.118	1.040	0.366	1.172	0.320	0.886	0.096	0.984	0.052	0.000	0.000
B 	 3.6	0.5	12.2	0.3	1.004	0.077	0.964	0.182	0.973	0.339	0.856	0.206	1.089	0.178	1.011	0.073	0.001	0.005
C 	 4.9	0.6	12.2	0.3	0.967	0.080	0.265	0.202	0.909	0.471	0.379	0.187	0.702	0.161	0.701	0.103	0.040	0.030
E 	 8.0	0.6	12.3	0.4	0.599	0.255	0.224	0.345	0.314	0.531	0.195	0.198	0.382	0.191	0.421	0.139	0.172	0.107
G 	15.6	1.2	15.9	1.2	0.849	0.125	0.000	0.000	0.004	0.024	0.000	0.006	0.008	0.022	0.333	0.049	0.127	0.067
H 	 7.7	0.7	12.3	0.8	0.477	0.127	0.096	0.065	1.007	0.428	0.033	0.124	0.095	0.141	0.245	0.101	0.412	0.128
I 	12.0	1.0	13.7	1.3	0.333	0.180	0.116	0.196	0.018	0.118	0.007	0.023	0.019	0.033	0.157	0.075	0.305	0.141
J 	16.8	1.6	18.3	1.5	0.119	0.116	0.000	0.005	0.001	0.039	0.002	0.015	0.006	0.016	0.049	0.044	0.327	0.125
K 	11.1	1.2	12.7	0.7	0.132	0.124	0.006	0.038	0.018	0.141	0.015	0.048	0.058	0.074	0.073	0.065	0.510	0.161
L 	13.8	0.9	14.3	1.0	0.046	0.083	0.001	0.013	0.006	0.070	0.011	0.035	0.015	0.029	0.024	0.035	0.477	0.152
U 	21.8	1.7	23.4	1.8	0.016	0.068	0.000	0.000	0.002	0.047	0.001	0.009	0.013	0.020	0.011	0.026	0.208	0.120
